"TID","UA"
"TID_RANK_INFO_POPUP_LABEL_STAR_POINTS","Нагорода з блингами"
"TID_RANK_INFO_POPUP_LABEL_END_TROPHIES","Трофеї в кінці трофейної ліги"
"TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY","<START> - <END>"
"TID_DAILY_COINS_COLLECTED","Отримано"
"TID_TEAM_BATTLE","СТВОРИТИ"
"TID_TEAM_UNREADY","не готово"
"TID_TEAM_WAITING_WHILE_READY","Все готово!\nПотрібно дочекатися інших."
"TID_GATCHA_SCREEN_NEW_HERO","<c<COLOR>><NAME>: <OWNEDCOUNT>-й із <SETSIZE> бійців</c>"
"TID_GATCHA_SCREEN_NEW_ITEM","<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME></c>"
"TID_GATCHA_SCREEN_BOXES_REMAINING","<AMOUNT>"
"TID_GATCHA_SCREEN_OK","Чудово!"
"TID_GATCHA_SCREEN_TAP","Тисни! Тисни!"
"TID_GATCHA_SCREEN_TICKET_DROP_HEADER","КВИТКИ ПОДІЙ"
"TID_GATCHA_SCREEN_TICKET_DROP_BONUS","БОНУС!"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING","Діє <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE","Починається через <TIME>"
"TID_GATCHA_SCREEN_TICKET_DROP_NOTE","<EMPTY>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER","ПОДВОЮВАЧІ ДОСВІДУ"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_GATCHA_SCREEN_COIN_DOUBLER_DESC","Отримуй удвічі більше жетонів у боях!"
"TID_GATCHA_SCREEN_GOLD_DROP_TITLE","МОНЕТИ"
"TID_GATCHA_SCREEN_GOLD_DROP_DESC","Використовуй монети для покращення бійців"
"TID_GATCHA_SCREEN_GEM_DROP_TITLE","КРИСТАЛИ"
"TID_GATCHA_SCREEN_GEM_DROP_DESC","Купуй за кристали скрині, скіни та інші предмети в магазині"
"TID_GATCHA_SCREEN_HERO_POWER_TITLE","ОЧКИ СИЛИ"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED","Розблоковано покращення!"
"TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE","Можна покращити!"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_52","ЗНАЧОК"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_DESC_52","Спілкуйся за допомогою унікальних значків!"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_68","СПРЕЙ"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_DESC_68","Виражай себе за допомогою унікальних спреїв!"
"TID_GATCHA_SCREEN_VANITY_ITEM_DROP_TITLE_76","НОВИЙ ТИТУЛ ГРАВЦЯ"
"TID_GATCHA_SCREEN_BOX_COUNTER_BONUS","БОНУС"
"TID_GATCHA_SCREEN_STAR_POINT_DROP_TITLE","ЗІРКОВІ ОЧКИ"
"TID_GATCHA_SCREEN_STAR_POINT_DROP_DESC","Зіркові очки потрібні для купівлі особливих предметів у магазині."
"TID_GATCHA_SCREEN_RECRUIT_TOKEN_DROP_TITLE","КРЕДИТИ"
"TID_GATCHA_SCREEN_RECRUIT_TOKEN_DROP_DESC","Кредити потрібні для розблокування бійців!"
"TID_GATCHA_SCREEN_CHROMATIC_TOKEN_DROP_TITLE","ХРОМАКРЕДИТИ"
"TID_GATCHA_SCREEN_CHROMATIC_TOKEN_DROP_DESC","Хромакредити потрібні, щоб купувати хроматичних бійців."
"TID_NAVI_BLOCKED_1","Не можна перейти на іншу сторінку в режимі готовності!"
"TID_LEG_TRO_MIG_INFO_SHORT","Отримано <cff00ff>зіркових очок:</c> <AMOUNT>!"
"TID_BUTTON_CLAIM","ЗАБРАТИ"
"TID_LEG_TRO_MIG_POPUP_TITLE","Представляємо <cff00ff>зіркові очки!</c>"
"TID_LEG_TRO_MIG_INFO","Новинка в Brawl Stars: зіркові очки! Їх можна заробляти за допомогою бійців, які набрали 500 або більше трофеїв. Наприкінці сезону певна частина трофеїв понад 500 перетворюється на зіркові очки.\n\nЗіркові очки також можна заробляти, підвищуючи ранг бійців. Зіркових очок за підвищення рангу бійців у минулому: <AMOUNT>."
"TID_TEAM_MEMBER_INFO_READY","<NAME> очікує готовності інших"
"TID_TEAM_MEMBER_INFO_NOT_READY","Гравець <NAME> ще не готовий до гри"
"TID_TEAM_MEMBER_INFO_SELF_READY","Не можна змінити бійця в режимі готовності!"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Не можна змінити подію в режимі готовності!"
"TID_TEAM_TOGGLE_PRACTISE_BLOCKED","Не можна змінити це в режимі готовності!"
"TID_TEAM_GATCHA_BLOCKED","Не можна відкрити скриню в режимі готовності!"
"TID_TEAM_NO_MEMBER_INFO","Запрошувати в команду може тільки її творець"
"TID_TEAM_INFO_TEAM_CODE","Поділися цим кодом із друзями та запроси їх у свою команду!\n\nНатисни ще раз, щоб скопіювати в буфер обміну."
"TID_FREEZER","Морозильник"
"TID_GAME_OVER","Бій завершено."
"TID_LEVEL","<LVL>-й рівень"
"TID_PLAYERS_IN_MM","Деякі гравці беруть участь у підборі суперників!"
"TID_ONLINE_INFO","Гравці в мережі: <ONLINE>, у підборі суперників: <MATCHMAKE>, у бою: <BATTLES>"
"TID_INPUT_NAME","Введіть ім’я"
"TID_LEADERBOARD_YOUR_SCORE","Твої очки"
"TID_LEADERBOARD_YOUR_RANK","Твій ранг"
"TID_LEADERBOARD_HIGHEST_SCORE","Найкращий результат"
"TID_LEADERBOARD_LOCAL","МІСЦЕВИЙ (<COUNTRY>)"
"TID_REGION_0","ВСЕСВІТНІЙ"
"TID_REGION_1","АЗІЯ"
"TID_SET_REGION_RESULT_0","Регіон змінено. Новий регіон: <REGION>"
"TID_SET_REGION_RESULT_1","Не вдалося змінити регіон: це не можна зробити, перебуваючи в клубі."
"TID_SET_REGION_RESULT_2","Не вдалося змінити регіон: це не можна зробити, перебуваючи в команді."
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Захоплення кристалів"
"TID_VICTORY_CONDITION_COINRUSH_TEXT","Захопи та утримуй 10 кристалів!"
"TID_BATTLE_END_MY_TEAM","Твоя команда"
"TID_BATTLE_END_ENEMY_TEAM","Команда ворога"
"TID_BACK","НАЗАД"
"TID_NOT_ENOUGH_GOLD","Не вистачає монет! Монети можна отримати на шляху до слави та в Brawl Pass."
"TID_UNLOCK_SKIN_ERROR_1","Не вистачає кристалів"
"TID_BOT_1","1-й бот"
"TID_BOT_2","2-й бот"
"TID_BOT_3","3-й бот"
"TID_BOT_4","4-й бот"
"TID_BOT_5","5-й бот"
"TID_BOT_6","6-й бот"
"TID_BOT_7","7-й бот"
"TID_BOT_8","8-й бот"
"TID_BOT_9","9-й бот"
"TID_CRAFT_HERO_TITLE","Купити бійця"
"TID_CRAFT_HERO_BUTTON_LABEL","Купити"
"TID_UNLOCK_SKIN_TITLE","Купити скін"
"TID_SKIN_COMING_SOON","Скін ще недоступний"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Купити"
"TID_HERO_LIST_TOTAL_TROPHIES","Усього трофеїв"
"TID_TOP_TOOL_TIP_TOKENS","<c00ccff>Жетони</c> дозволяють розблокувати нагороди Brawl Pass.\n\nЖетони можна отримати за проходження квестів, у нових подіях і в боях."
"TID_TOP_TOOL_TIP_GEMS","<c0ed12d>Кристали</c> потрібні, щоб купувати бійців, скіни та інші предмети в магазині.\n\nКристали можна знайти серед нагород Brawl Pass або купити в магазині за реальні гроші."
"TID_TOP_TOOL_TIP_COINS","<cff8E1b>Монети</c> потрібні, щоб покращувати бійців.\n\nМонети можна знайти на шляху до слави, в Brawl Pass, серед призів Старр і отримати в нагороду за проходження квестів і випробувань."
"TID_TOP_TOOL_TIP_STAR_POINTS","<cff00ff>Зіркові очки</c> потрібні, щоб купувати унікальні предмети в магазині.\n\nЇх можна заробити в трофейній лізі та отримати за підвищення рангу бійця до 10-го, а також через кожні 5 рангів після цього."
"TID_TOP_TOOL_TIP_CLUB_TICKETS","<cff0000>Квитки</c> потрібні для гри в подіях Ліги клубів."
"TID_TOP_TOOL_TIP_CLUB_COINS","<cff0000>Монети клубу</c> потрібні для купівлі унікальних предметів у магазині клубу.\n\nМонети клубу можна отримати, беручи участь у іграх клубів!"
"TID_TOP_TOOL_TIP_CHROMATIC_COINS","<cF88F25>Хромакредити</c> потрібні для розблокування хроматичних бійців.\n\nХромакредити можна знайти в Brawl Pass, на шляху до слави, серед призів Старр і отримати в нагороду за проходження квестів і випробувань.\n\nМаксимально можлива кількість: <cFF0000><MAX></c><EXTRAINFO>"
"TID_TOP_TOOL_TIP_CHROMATIC_COINS_EXTRAINFO_MAX_REACHED","\n\n<cFF0000>Зібрано максимальну кількість хромакредитів. Витрать наявні хромакредити, щоб збирати нові.</c>"
"TID_GAME_MODE_0","ЗАХОПЛЕННЯ КРИСТАЛІВ"
"TID_GAME_MODE_0_DESC","Збирай кристали, що з’являються з шахти в центрі карти, або ті, що втрачають переможені противники. Для перемоги потрібно утримати десять кристалів до закінчення зворотного відліку."
"TID_GAME_MODE_2","ОГРАБУВАННЯ"
"TID_GAME_MODE_2_DESC","Захищай свій сейф, одночасно намагаючись зламати ворожий! Перемагає команда, яка першою зламає сейф ворога.\n\nЯкщо час закінчиться, переможцем буде оголошена команда, що завдала більше шкоди ворожому сейфу."
"TID_GAME_MODE_3","НАГОРОДА ЗА ПОЛЮВАННЯ"
"TID_GAME_MODE_3_DESC","Збирай зірки для команди, перемагаючи учасників команди ворога. З кожною перемогою нагорода за твою голову збільшуватиметься на одну зірку, поки не досягне семи зірок. Не дай ворогу відібрати їх!\n\nПеремагає команда, яка першою збере 20 зірок або більше зірок після закінчення часу. У разі нічиєї перемагає команда, що захопила синю зірку."
"TID_GAME_MODE_6","ОДИНОЧНЕ ЗІТКНЕННЯ"
"TID_GAME_MODE_6_COMBINED","ЗІТКНЕННЯ"
"TID_GAME_MODE_6_DESC","Переможи всіх і залишайся в живих. Усі засоби хороші, адже в тебе лише одне життя."
"TID_GAME_MODE_6_DESC_COMBINED","Переможи всіх і залишайся в живих! Грайте в одиночному або парному режимі."
"TID_GAME_MODE_5","БРОЛБОЛ"
"TID_GAME_MODE_5_DESC","Забей гол у ворота противника! Матч закінчиться після закінчення часу або після двох голів, забитих однією з команд."
"TID_GAME_MODE_3_OG","ЗАЧИСТКА"
"TID_GAME_MODE_3_OG_DESC","Збирай зірки для команди, перемагаючи учасників ворожої. З кожною перемогою нагорода за твою голову збільшуватиметься на одну зірку, поки не досягне семи. Не дай ворогу відібрати їх!\n\nПісля закінчення часу перемагає команда з найбільшою кількістю зірок."
"TID_GAME_MODE_11","ВІЙНА ПРИВИДІВ"
"TID_GAME_MODE_11_DESC","Знищ турель ворожої команди! Із порталів виходять привиди ангелів і демонів вести свою одвічну битву — збирай амулети, щоб прикликати їх битися за тебе. Амулети з’являються біля центру карти. Щоб активувати амулет, підніми його й утримуй кілька секунд.\n\nЗа матч можна провести до трьох боїв, у кожному з яких можна прикликати до 10 привидів залежно від того, скільки амулетів збере твоя команда. З кожним боєм привиди ставатимуть сильнішими.\nОбережно: не наближайся до турелі ворога без допомоги привидів!"
"TID_BATTLE_END_GAIN_LABEL_FIRST_WIN","Зірковий жетон"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Підвищення рівня"
"TID_BATTLE_END_GAIN_LABEL_DOUBLERS","Подвоювачі"
"TID_BATTLE_END_GAIN_LABEL_TEAMUP","Гра в команді"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Новий рівень"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Перемога"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Поразка"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Нічия"
"TID_BATTLE_END_GAIN_LABEL_MVP","Зірковий гравець"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Очки рівня"
"TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER","Залишилось подвоювачів:"
"TID_BATTLE_END_COIN_REWARDS","ДОСВІД BRAWL PASS"
"TID_BATTLE_END_MVP","ЗІРКОВИЙ ГРАВЕЦЬ"
"TID_BATTLE_END_DEFEAT_INFO","Удачі наступного разу!"
"TID_TUTORIAL_1","Привіт, я Шеллі! Давай-но зберемо ці <c50d050>КУБИКИ ПІДСИЛЕННЯ</c>! <c0066ff>ЗАТИСНИ І ПОТЯГНИ</c> <c0066ff>СИНІЙ ДЖОЙСТИК</c> великим пальцем лівої руки, щоб почати рух."
"TID_TUTORIAL_2","Потрібно зібрати все! Це мої <c50d050>КУБИКИ ПІДСИЛЕННЯ</c>!"
"TID_TUTORIAL_3","Роботи! <ccc0033>ЗАТИСНИ І ПОТЯГНИ</c> <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c> великим пальцем правої руки для прицілювання і відпусти для пострілу. Знищ усіх роботів!"
"TID_TUTORIAL_GOOD_JOB_1","Молодець!"
"TID_TUTORIAL_5","Нові цілі! Можна <ccc0033>НАТИСНУТИ</c> на <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c>, щоб атакувати найближчого ворога. Знищ усіх роботів!"
"TID_TUTORIAL_6","А зараз використай Супер, щоб атакувати боса за стіною! <cff9900>ЗАТИСНИ І ПОТЯГНИ</c> <cff9900>ЖОВТИЙ ДЖОЙСТИК</c> для прицілювання і відпусти для пострілу!"
"TID_TUTORIAL_555","Відмінно, продовжуй у тому ж дусі!"
"TID_TUTORIAL_7","Молодець! <c50d050>КУБИКИ ПІДСИЛЕННЯ</c> у нас, тепер давай на вихід!"
"TID_TUTORIAL_8","Завдаючи шкоди ворогу, ти заряджаєш свій Супер. Використовуй <cff9900>жовтий джойстик</c> для атаки за допомогою Супера!"
"TID_TUTORIAL_9","Ти природжений боєць!\n\nА тепер задай їм усім жару!"
"TID_TUTORIAL_10","Коли ти вражаєш цілі, Супер заряджається. Зараз він повністю заряджений!\nТисни на кнопку супера!"
"TID_TUTORIAL_11","<cff6633>Помаранчеві смужки</c> показують кількість твоїх боєприпасів. Буду перезаряджати так швидко, як зможу!"
"TID_FIGHT_TUTORIAL","ГРАТИ"
"TID_HERO_SCORE_INFO","Збирай цим бійцем трофеї, перемагаючи в боях проти інших гравців.\n\nНабравши <PROGRESS> трофеїв, боєць отримає новий рівень трофеїв."
"TID_HERO_SCORE_INFO_MAXED","Досягнуто максимальний рівень трофеїв. Тепер перемоги приноситимуть трофеї сезону."
"TID_HERO_SCORE_INFO_COMPACT","Для переходу на наступний рівень потрібно <PROGRESS> трофеїв."
"TID_TUTORIAL_WIN_ONE_GAME_PROMPT","ВИГРАЙ ОДИН ТРЕНУВАЛЬНИЙ БІЙ, ЩОБ ВІДКРИТИ ГРУ ПОВНІСТЮ"
"TID_SOCIAL_TAB_CLANS","КЛУБ"
"TID_SOCIAL_TAB_FRIENDS","ДРУЗІ"
"TID_FRIEND_STATUS_YOU","<EMPTY>"
"TID_FRIEND_STATUS_OFFLINE","<EMPTY>"
"TID_FRIEND_STATUS_BATTLE","<cffffff>Бій</c> триває <TIME>"
"TID_FRIEND_STATUS_BATTLE_END_SCREEN","<cffffff>екран завершення бою</c>"
"TID_FRIEND_STATUS_SPECTATING","<cffffff>спостерігає</c>"
"TID_FRIEND_STATUS_PRACTICING","<cffffff>тренується</c>"
"TID_FRIEND_STATUS_MATCHMAKE","<cffffff>підбір суперників</c>"
"TID_FRIEND_STATUS_HOME_AD_FULL","<cffffff>у команді</c>"
"TID_FRIEND_STATUS_HOME_WITH_AD","<cffffff>у команді</c>"
"TID_FRIEND_STATUS_HOME_IN_GAMEROOM","<cffffff>у команді</c>"
"TID_FRIEND_STATUS_BATTLE_NO_TIME","<cffffff>бій</c>"
"TID_FRIEND_STATUS_MENUS","меню"
"TID_FRIEND_STATUS_HOME_NO_GAMEROOM","<EMPTY>"
"TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE","ГРАЙ У КОМАНДІ!"
"TID_ONLINE_FRIENDS_POPUP_TITLE","ГРАВЦІ В МЕРЕЖІ"
"TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS","Друзі або учасники клубу зараз не в мережі"
"TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS","Немає друзів або учасників клубу, яких можна було б запросити. Хтось чудово проявив себе в нещодавньому бою? Додай їх у друзі!"
"TID_CLAN_CREATE_BUTTON","СТВОРИТИ"
"TID_CLAN_SAVE_BUTTON","ЗБЕРЕГТИ"
"TID_CLAN_CREATE_TITLE","СТВОРИТИ НОВИЙ КЛУБ"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR","В мережі \n<cf7f7f7><less_than_h_ago></c>"
"TID_LESS_THAN_H_AGO","менше години тому"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS","В мережі \n<cf7f7f7><HOURS> год. тому</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS","В мережі \n<cf7f7f7><DAYS> дн. тому</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG","В мережі \n<cf7f7f7>понад місяць тому</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_1","<cff1e00>БІЙ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_2","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_3","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_4","<cff1e00>У ПІДБОРІ СУПЕРНИКІВ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_5","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_7","<cff1e00>СПОСТЕРЕЖЕННЯ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_8","<cff1e00>ТРЕНУВАННЯ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_9","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_10","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_11","<cffffff>МЕНЮ</c>"
"TID_CLAN_MEMBER_ONLINE_STATUS_PENDING_KICK","Чекає на виключення після завершення клубної події"
"TID_CLAN_MEMBER_ONLINE_STATUS_PENDING_LEAVE","Чекає на вихід після завершення клубної події"
"TID_CLAN_ENTRY_ONLINE_MEMBERS","<COUNT> уч. в мережі"
"TID_CLAN_ENTRY_ONLINE_MEMBER","<COUNT> уч. в мережі"
"TID_ALLIANCE_TYPE_OPEN","Відкритий"
"TID_ALLIANCE_TYPE_INVITE_ONLY","За запрошенням"
"TID_ALLIANCE_TYPE_CLOSED","Закритий"
"TID_CLAN_SEARCH_TITLE","ШУКАТИ КЛУБ"
"TID_CLAN_INTRO_AD_TITLE","ШУКАЄШ КЛУБ?"
"TID_CLAN_INTRO_AD_DESC","Приєднуйся до клубу, щоб грати разом з іншими учасниками!"
"TID_CLAN_INTRO_AD_TITLE_IN_CLAN","ДИВИТИСЯ ІНШІ КЛУБИ"
"TID_CLAN_INTRO_AD_DESC_IN_CLAN","Подивитися, які ще є клуби"
"TID_CLAN_INTRO_CREATE_GO","СТВОРИТИ КЛУБ"
"TID_CLAN_INTRO_SEARCH_GO","ШУКАТИ КЛУБ"
"TID_CLAN_INTRO_REFRESH","ОНОВИТИ"
"TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN","Кількість трофеїв, необхідних для вступу до цього клубу: <REQ>. Кількість твоїх трофеїв: <SCORE>."
"TID_CLAN_CANNOT_JOIN_CLOSED_CLAN","Це закритий клуб"
"TID_STREAM_ENTRY_AGE","<time> тому"
"TID_ALLIANCE_ROLE_LEADER","Президент"
"TID_ALLIANCE_ROLE_CO_LEADER","Віце-президент"
"TID_ALLIANCE_ROLE_MEMBER","Учасник"
"TID_ALLIANCE_ROLE_ELDER","Ветеран"
"TID_STREAM_SENDER_YOU","Ти"
"TID_GOLDRUSH_1","Фатальна шахта"
"TID_BANKHEIST_1","Схованка бандитів"
"TID_WANTED_1","Руїни храму"
"TID_BATTLE_ROYALE_1","Озеро мерців"
"TID_GOLDRUSH_2","Кришталева аркада"
"TID_BANKHEIST_2","Пороховий каньйон"
"TID_WANTED_2","Табір бандитів"
"TID_BATTLE_ROYALE_2","Обпалений камінь"
"TID_GOLDRUSH_3","Поганкова печера"
"TID_BANKHEIST_3","Надійне укриття"
"TID_WANTED_3","Кам’яний форт"
"TID_BATTLE_ROYALE_3","Бійка в Рокуоллі"
"TID_WANTED_4","Поганкова пастка"
"TID_GOLDRUSH_4","Сувенірний форт"
"TID_WANTED_5","Кришталева виработка"
"TID_GOLDRUSH_5","Підрив"
"TID_WANTED_6","Зміїні степи"
"TID_WANTED_7","Падаюча зірка"
"TID_GOLDRUSH_6","Підземна закусочна"
"TID_GOLDRUSH_7","Холодильна камера"
"TID_BATTLE_ROYALE_4","Все або нічого"
"TID_WANTED_8","Укриття"
"TID_BANKHEIST_4","Морг GG"
"TID_CLAN_MEMBERS_ONLINE","Учасників у мережі: <COUNT>/<TOTAL>"
"TID_CLAN_TOTAL_TROPHIES","Трофеї клубу"
"TID_CLAN_SEARCH_OK","ШУКАТИ"
"TID_CLAN_INFO_NAME","НАЗВА КЛУБУ"
"TID_CLAN_INFO_BADGE","ЕМБЛЕМА"
"TID_CLAN_INFO_DESC","ОПИС"
"TID_CLAN_INFO_TOTAL_TROPHIES","ТРОФЕЇ КЛУБУ"
"TID_CLAN_INFO_TYPE","ТИП"
"TID_CLAN_INFO_TAG","Тег клубу"
"TID_CLAN_INFO_MIN_TROPHIES","ПОТРІБНО ТРОФЕЇВ"
"TID_CLAN_INFO_LEAVE","ВИЙТИ"
"TID_CLAN_INFO_SETTINGS","НАЛАШТУВАННЯ"
"TID_CLAN_INFO_JOIN","ВСТУПИТИ"
"TID_CLAN_INFO_MESSAGE","Повідомлення"
"TID_CLAN_INFO_REQUEST_JOIN","Попросити прийняти"
"TID_CLAN_SEARCH_NO_RESULTS","Клуб не знайдено"
"TID_CLAN_SEARCH_INITIAL","Історії пошуку поки немає."
"TID_CLAN_INFO_MEMBERS","Учасники:"
"TID_CLAN_INFO_SELECT_BADGE","ВИБРАТИ"
"TID_SELECT_BADGE","ВИБЕРИ ЕМБЛЕМУ"
"TID_ALLIANCE_CREATE_OK","Клуб успішно створено"
"TID_CLAN_CHANGE_SETTINGS_TITLE","НАЛАШТУВАННЯ КЛУБУ"
"TID_TITLE_ALLIANCE","Інформація про клуб"
"TID_ALLIANCE_LEFT","Ти залишаєш клуб"
"TID_CLAN_MEMBER_DEMOTE","Понизити"
"TID_CLAN_MEMBER_PROMOTE","Підвищити"
"TID_CLAN_MEMBER_KICK","Вигнати"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Переглянути клуб"
"TID_BUTTON_INVITE","ЗАПРОСИТИ"
"TID_PLAYER_INFO_GOTO_CLAN","Переглянути клуб"
"TID_SELECT_PLAYER_THUMBNAIL","ВИБРАТИ ІКОНКУ"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Щоб розблокувати цю іконку, потрібно <TROPHIES> трофеїв"
"TID_PLAYER_INFO_WINS_AMOUNT","Перемоги: <AMOUNT>"
"TID_PLAYER_INFO_TAB_1","ПОКАЗНИКИ"
"TID_PLAYER_INFO_TAB_2","БІЙЦІ (<FOUND>/<TOTAL>)"
"TID_PLAYER_STAT_1","ПЕРЕМОГ 3 НА 3"
"TID_PLAYER_STAT_4","РЕКОРД ЗА ВЕСЬ ЧАС"
"TID_PLAYER_STAT_29","РЕКОРД СЕЗОНУ"
"TID_PLAYER_STAT_8","ОДИНОЧНИХ ПЕРЕМОГ"
"TID_PLAYER_STAT_9","ПРОЙДЕНИЙ РІВЕНЬ РОБОРУБКИ"
"TID_PLAYER_STAT_11","ПАРНИХ ПЕРЕМОГ"
"TID_PLAYER_STAT_12","ПРОЙДЕНИЙ РІВЕНЬ БОЮ З БОСОМ"
"TID_PLAYER_STAT_13","МАКСИМУМ ОЧОК У СИЛОВІЙ ГОНЦІ"
"TID_PLAYER_STAT_14","НАЙКРАЩЕ МІСЦЕ У СИЛОВІЙ ГОНЦІ"
"TID_PLAYER_STAT_15","МАКСИМУМ ПЕРЕМОГ У ВИПРОБУВАННІ"
"TID_PLAYER_STAT_16","ПРОЙДЕНИЙ РІВЕНЬ РОЗГРОМУ"
"TID_PLAYER_STAT_17","НАЙВИЩА КОМАНДНА ЛІГА"
"TID_PLAYER_STAT_18","НАЙВИЩА ОДИНОЧНА ЛІГА"
"TID_PLAYER_STAT_19","НАЙВИЩА КЛУБНА ЛІГА"
"TID_NO_CLAN","Не в клубі"
"TID_ULTIMATE_NOT_READY","Завдавай шкоди ворогам, щоб зарядити Супер!"
"TID_CANT_ACTIVATE_ULTI","Павший боєць не може активувати Супер!"
"TID_NAME_TOO_SHORT","Це ім’я занадто коротке"
"TID_ALLIANCE_JOINED","Ти тепер у клубі"
"TID_COIN_RUSH_INTRO_TEXT","Для перемоги потрібно зібрати 10 кристалів."
"TID_BOUNTY_HUNTER_INTRO_TEXT","Перемагай бійців, щоб отримати зірки"
"TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","Зламай ворожий сейф"
"TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","Зламай ворожий сейф"
"TID_GO","В БІЙ!"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","ПІДТВЕРДИТИ ВИХІД"
"TID_ALLIANCE_LEAVE_CONFIRMATION","\nТочно хочеш вийти з клубу?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE","ВИЙТИ"
"TID_ALLIANCE_PROMOTE_TITLE","Підтвердити підвищення"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Точно хочеш підвищити гравця <NAME> до звання «<ROLE>»?"
"TID_ALLIANCE_PROMOTE_BUTTON","Підвищити"
"TID_ALLIANCE_KICK_TITLE","Підтвердити вигнання"
"TID_ALLIANCE_KICK_CONFIRMATION","Точно хочеш виключити з клубу гравця <NAME>?"
"TID_ALLIANCE_KICK_BUTTON","Вигнати"
"TID_ALLIANCE_DEMOTE_TITLE","Підтвердити пониження"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Точно хочеш понизити гравця <NAME> до звання «<ROLE>»?"
"TID_ALLIANCE_DEMOTE_BUTTON","Понизити"
"TID_CLAN_RESPONSE_10","Налаштування збережено"
"TID_CLAN_RESPONSE_20","Клуб створено"
"TID_CLAN_RESPONSE_21","Не вдалося створити клуб. Спробуй пізніше."
"TID_CLAN_RESPONSE_22","Така назва неприпустима!"
"TID_CLAN_RESPONSE_23","Такий опис неприпустимий!"
"TID_CLAN_RESPONSE_24","Назва занадто коротка!"
"TID_CLAN_RESPONSE_40","Ти тепер у клубі"
"TID_CLAN_RESPONSE_42","Вступити не вдалося: у клубі немає місця."
"TID_CLAN_RESPONSE_43","Вступити не вдалося: це не відкритий клуб."
"TID_CLAN_RESPONSE_45","Вступити не вдалося: щоб вступити до цього клубу, потрібно більше трофеїв."
"TID_CLAN_RESPONSE_46","Вступити не вдалося: можливість вступу до цього клубу заблокована через раніше відхилений запит або виключення."
"TID_CLAN_RESPONSE_47","Вступити не вдалося: ти вступив до занадто багатьох клубів сьогодні. Можливість вступу до клубу заблокована до завтра."
"TID_CLAN_RESPONSE_48","Вступити не вдалося: не можна вступити до клубу в іншому регіоні."
"TID_CLAN_RESPONSE_49","Вступити не вдалося: термін дії запрошення минув."
"TID_CLAN_RESPONSE_50","Запит на вступ успішно відправлено."
